AY_ID,EXAM_ID,SUB_ID,ADMNO,MARKS_OBTAINED
2022-2023,FINAL,CA,2494,81.5
2022-2023,FINAL,CA,2499,24.5
2022-2023,FINAL,CA,2500,82.5
2022-2023,FINAL,CA,2504,30
2022-2023,FINAL,CA,2506,87
2022-2023,FINAL,CA,2508,89
2022-2023,FINAL,CA,2511,82
2022-2023,FINAL,CA,2512,91
2022-2023,FINAL,CA,2513,90
2022-2023,FINAL,CA,2514,89
2022-2023,FINAL,CA,2515,51
2022-2023,FINAL,CA,2516,85
2022-2023,FINAL,CA,2517,88
2022-2023,FINAL,CA,2518,88
2022-2023,FINAL,CA,2519,94
2022-2023,FINAL,CA,2522,12
2022-2023,FINAL,CA,2527,17
2022-2023,FINAL,CA,2528,25
2022-2023,FINAL,CA,2529,70.5
2022-2023,FINAL,CA,2530,40.5
2022-2023,FINAL,CA,2533,76
2022-2023,FINAL,CA,2540,99
2022-2023,FINAL,CA,2547,28.5
2022-2023,FINAL,CA,2549,87
2022-2023,FINAL,CA,2550,47
2022-2023,FINAL,CA,2552,79
2022-2023,FINAL,CA,2553,0
2022-2023,FINAL,CA,2556,43
2022-2023,FINAL,CA,2558,77
2022-2023,FINAL,CA,2559,29
2022-2023,FINAL,CA,2560,25
2022-2023,FINAL,CA,2563,35
2022-2023,FINAL,CA,2565,43
2022-2023,FINAL,CA,2566,95
2022-2023,FINAL,CA,2567,25
2022-2023,FINAL,CA,2569,23
2022-2023,FINAL,CA,2570,64
2022-2023,FINAL,CA,2572,24
2022-2023,FINAL,CA,2573,25
2022-2023,FINAL,CA,2574,22.5
2022-2023,FINAL,CA,2575,80.5
2022-2023,FINAL,CA,2577,40
2022-2023,FINAL,CA,2582,30
2022-2023,FINAL,CA,2587,75
2022-2023,FINAL,CA,2588,94
2022-2023,FINAL,CA,2589,91.5
2022-2023,FINAL,CA,2592,91.5
2022-2023,FINAL,CA,2593,75.5
2022-2023,FINAL,CA,2594,87
2022-2023,FINAL,CA,2595,92
2022-2023,FINAL,CA,2596,80.5
2022-2023,FINAL,CA,2597,86
2022-2023,FINAL,CA,2598,74
2022-2023,FINAL,CA,2599,67
2022-2023,FINAL,CA,2601,89
2022-2023,FINAL,CA,2602,66
2022-2023,FINAL,CA,2603,86
2022-2023,FINAL,CA,2604,62.5
